Date,Home Team Odds,Home Team Name,Away Team Name,Away Team Odds,Predicted Winner,Win Prediction Confidence,Actual Winner,OverUnder Point,OverUnder Prediction,OverUnder Confidence,Actual Combined Score
2024-03-24 11:14:18,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:14:18,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:14:18,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:14:18,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:14:18,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:15:19,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:15:19,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:15:19,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:15:19,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:15:19,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 11:15:19,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 13:13:48,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 13:13:48,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 13:13:48,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 13:13:48,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 13:13:48,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
2024-03-24 13:13:48,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
